,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Swiss Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alts,U.S. REITs,0.055,0.0654,0.15,0.0525,0.06,-0.2,-0.14,0.13,-0.1,0.14,0.18,0.28,0.37,0.48,0.44,0.4,0.05,0.16,-0.04,0.1,0.34,0.5,0.28,0.71,0.73,0.66,0.73,0.73,0.58,0.51,0.56,0.5,0.55,0.46,0.46,0.46,0.46,0.66,0.67,0.68,0.48,0.12,0.59,1,Global ex-U.S. REITs,,,,,,,,,,,,
Alts,Global ex-U.S. REITs,0.0725,0.0875,0.1825,0.05,-0.01,-0.32,-0.24,0.07,-0.03,0.11,0.19,0.32,0.49,0.58,0.62,0.45,-0.07,0.02,-0.2,-0.13,0.46,0.45,0.44,0.63,0.64,0.6,0.63,0.58,0.79,0.79,0.78,0.78,0.73,0.74,0.46,0.53,0.54,0.7,0.67,0.7,0.66,0.34,0.64,0.67,1,U.S. Direct Real Estate,,,,,,,,,,,
Alts,U.S. Direct Real Estate,0.045,0.0507,0.11,0.0475,0.02,-0.08,-0.03,0.04,-0.05,0.05,0.06,0.1,0.14,0.19,0.17,0.16,0.01,0.07,-0.02,0.04,0.13,0.2,0.1,0.28,0.3,0.27,0.3,0.29,0.23,0.2,0.22,0.2,0.22,0.18,0.18,0.18,0.18,0.27,0.27,0.27,0.19,0.04,0.24,0.4,0.27,1,European Direct Real Estate,,,,,,,,,,
Alts,European Direct Real Estate,0.05,0.0552,0.105,0.055,0.05,-0.09,-0.15,-0.05,-0.08,-0.05,-0.03,0.05,0.1,0.23,0.24,0.21,-0.13,0,-0.16,-0.06,0.15,0.22,0.16,0.33,0.33,0.33,0.33,0.31,0.39,0.35,0.4,0.37,0.35,0.31,0.25,0.28,0.29,0.36,0.35,0.36,0.31,0.12,0.33,0.27,0.32,0.3,1,U.S. Value Added Real Estate,,,,,,,,,
Alts,U.S. Value Added Real Estate,0.0575,0.0672,0.145,0.0625,0.03,-0.09,-0.04,0.04,-0.05,0.05,0.06,0.1,0.15,0.2,0.18,0.17,0.01,0.07,-0.03,0.04,0.13,0.21,0.11,0.31,0.32,0.29,0.32,0.32,0.25,0.22,0.24,0.21,0.24,0.2,0.2,0.2,0.2,0.29,0.29,0.29,0.2,0.05,0.26,0.43,0.28,0.95,0.29,1,Global Infrastructure,,,,,,,,
Alts,Global Infrastructure,0.055,0.0609,0.1125,0.055,0.1,-0.08,-0.1,-0.04,-0.08,-0.01,0,0.03,0.09,0.14,0.15,0.13,-0.07,0.08,-0.1,0.05,0.07,0.19,0.08,0.3,0.3,0.29,0.3,0.28,0.25,0.22,0.23,0.21,0.25,0.22,0.21,0.2,0.21,0.29,0.29,0.29,0.18,0.06,0.25,0.26,0.2,0.3,0.15,0.29,1,Diversified Hedge Funds hedged,,,,,,,
Alts,Diversified Hedge Funds hedged,0.0225,0.0252,0.075,0.015,0.18,-0.2,-0.43,-0.11,-0.09,-0.19,-0.08,0.22,0.35,0.62,0.68,0.49,-0.36,-0.3,-0.41,-0.4,0.35,0.28,0.45,0.48,0.45,0.54,0.56,0.47,0.67,0.74,0.64,0.72,0.65,0.69,0.45,0.63,0.67,0.63,0.62,0.61,0.8,0.43,0.56,0.27,0.5,0.11,0.24,0.12,0.15,1,Event Driven Hedge Funds hedged,,,,,,
Alts,Event Driven Hedge Funds hedged,0.0275,0.0314,0.09,0.0275,0.18,-0.25,-0.46,-0.12,-0.06,-0.23,-0.11,0.27,0.43,0.78,0.79,0.57,-0.41,-0.36,-0.47,-0.46,0.47,0.33,0.58,0.53,0.54,0.55,0.63,0.59,0.73,0.8,0.71,0.78,0.69,0.72,0.44,0.67,0.73,0.69,0.67,0.66,0.87,0.52,0.61,0.4,0.59,0.16,0.27,0.17,0.17,0.88,1,Long Bias Hedge Funds hedged,,,,,
Alts,Long Bias Hedge Funds hedged,0.0275,0.0328,0.105,0.025,0.18,-0.21,-0.43,-0.09,-0.02,-0.23,-0.12,0.29,0.4,0.75,0.74,0.56,-0.39,-0.42,-0.44,-0.53,0.52,0.34,0.61,0.53,0.52,0.56,0.62,0.59,0.75,0.79,0.74,0.79,0.69,0.69,0.45,0.75,0.8,0.7,0.68,0.67,0.93,0.43,0.62,0.39,0.56,0.15,0.29,0.16,0.17,0.87,0.94,1,Relative Value Hedge Funds hedged,,,,
Alts,Relative Value Hedge Funds hedged,0.025,0.0274,0.07,0.0225,0.15,-0.22,-0.41,0,0.04,-0.17,-0.03,0.39,0.51,0.85,0.86,0.66,-0.34,-0.29,-0.41,-0.39,0.54,0.4,0.64,0.47,0.46,0.51,0.56,0.48,0.68,0.73,0.64,0.7,0.67,0.68,0.46,0.68,0.72,0.64,0.62,0.6,0.84,0.45,0.56,0.36,0.55,0.14,0.23,0.15,0.15,0.85,0.92,0.86,1,Macro Hedge Funds hedged,,,
Alts,Macro Hedge Funds hedged,0.0175,0.0202,0.075,0.02,0.11,0.18,0.1,0.19,0.24,0.16,0.2,0.27,0.22,0.16,0.18,0.03,0.16,-0.16,0.15,-0.19,0.22,0.03,0.21,-0.04,-0.06,0,0,-0.06,0.14,0.14,0.13,0.18,0.12,0.06,-0.02,0.17,0.22,0.08,0.07,0.06,0.31,0.14,0.06,-0.03,0.05,-0.02,0.03,-0.02,0,0.54,0.3,0.37,0.28,1,Mezzanine Debt,,
Alts,Mezzanine Debt,0.0525,0.0604,0.13,0.0575,-0.08,-0.15,-0.2,0.14,-0.04,0.15,0.22,0.35,0.42,0.45,0.45,0.53,0,0.53,-0.1,0.45,0.3,0.66,0.41,0.73,0.71,0.73,0.71,0.63,0.57,0.51,0.5,0.44,0.64,0.56,0.63,0.55,0.51,0.7,0.72,0.71,0.38,0.02,0.58,0.54,0.44,0.21,0.2,0.23,0.21,0.2,0.25,0.21,0.34,-0.15,1,Commodities,
Alts,Commodities,0.03,0.0396,0.1425,0.03,0.14,-0.08,-0.28,-0.12,-0.04,-0.24,-0.19,0.07,0.08,0.33,0.29,0.22,-0.33,0.12,-0.33,0.03,0.18,0.4,0.26,0.39,0.39,0.41,0.42,0.35,0.4,0.38,0.31,0.32,0.5,0.39,0.24,0.41,0.49,0.46,0.47,0.44,0.35,0.17,0.37,0.14,0.2,0.06,0.12,0.06,0.11,0.46,0.45,0.44,0.47,0.23,0.32,1,Gold
