,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Japan Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,European Large Cap,0.05,0.0724,0.2225,0.06,0.17,-0.15,-0.31,-0.13,0.55,-0.14,0.8,0.62,0.64,0.57,0.78,-0.05,0.71,-0.33,0.73,-0.31,0.76,-0.14,0.76,-0.11,0.77,0.44,0.82,0.75,0.49,0.8,0.7,0.9,0.83,0.97,1,Euro area Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap,0.0525,0.0798,0.2475,0.0625,0.17,-0.14,-0.3,-0.09,0.5,-0.11,0.76,0.61,0.6,0.56,0.79,-0.05,0.7,-0.31,0.71,-0.29,0.73,-0.13,0.74,-0.1,0.73,0.46,0.8,0.71,0.49,0.78,0.67,0.87,0.81,0.92,0.99,1,Developed World Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Developed World Equity,0.045,0.062,0.1925,0.055,0.17,-0.18,-0.34,-0.23,0.63,-0.21,0.85,0.59,0.73,0.56,0.75,-0.07,0.72,-0.37,0.74,-0.34,0.78,-0.2,0.79,-0.17,0.81,0.36,0.81,0.81,0.44,0.85,0.74,0.98,0.91,0.96,0.97,0.94,1,Developed World ex-Japan Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Developed World ex-Japan Equity,0.0425,0.06,0.195,0.055,0.18,-0.18,-0.33,-0.23,0.63,-0.21,0.85,0.59,0.72,0.55,0.75,-0.07,0.71,-0.37,0.73,-0.34,0.78,-0.2,0.78,-0.17,0.8,0.37,0.81,0.81,0.44,0.82,0.71,0.98,0.92,0.96,0.97,0.94,1,1,AC World Equity,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,AC World Equity,0.045,0.0625,0.195,0.0575,0.17,-0.17,-0.33,-0.21,0.62,-0.2,0.85,0.6,0.72,0.56,0.75,-0.07,0.71,-0.37,0.73,-0.34,0.78,-0.19,0.78,-0.16,0.81,0.39,0.83,0.81,0.46,0.84,0.74,0.97,0.91,0.96,0.97,0.94,1,1,1,AC World ex-Japan Equity,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,AC World ex-Japan Equity,0.045,0.0629,0.1975,0.0575,0.17,-0.16,-0.33,-0.21,0.61,-0.19,0.85,0.61,0.71,0.56,0.75,-0.07,0.71,-0.37,0.73,-0.34,0.77,-0.19,0.78,-0.16,0.81,0.39,0.83,0.81,0.46,0.82,0.71,0.97,0.91,0.96,0.97,0.94,1,1,1,1,AC Asia ex-Japan Equity,,,,,,,,,,,,,,,,,,,,,,,,
Equities,AC Asia ex-Japan Equity,0.0675,0.0919,0.235,0.0825,0.1,-0.08,-0.28,-0.06,0.5,-0.06,0.76,0.63,0.58,0.56,0.68,-0.01,0.63,-0.28,0.65,-0.26,0.69,-0.08,0.69,-0.05,0.74,0.49,0.83,0.73,0.55,0.73,0.63,0.8,0.75,0.84,0.86,0.84,0.86,0.86,0.89,0.89,1,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
Equities,Emerging Markets Equity,0.065,0.09,0.2375,0.0825,0.13,-0.06,-0.29,-0.06,0.47,-0.08,0.76,0.65,0.56,0.56,0.7,-0.05,0.62,-0.32,0.64,-0.29,0.68,-0.11,0.68,-0.08,0.74,0.52,0.86,0.72,0.57,0.73,0.63,0.8,0.76,0.86,0.87,0.85,0.87,0.87,0.9,0.91,0.98,1,Japan Convertible Bond,,,,,,,,,,,,,,,,,,,,,,
Equities,Japan Convertible Bond,0.04,0.0431,0.08,,-0.03,-0.2,-0.25,-0.1,0.49,-0.08,0.6,0.39,0.55,0.45,0.47,-0.01,0.51,-0.22,0.51,-0.2,0.56,-0.08,0.56,-0.05,0.56,0.22,0.56,0.61,0.34,0.85,0.82,0.65,0.58,0.65,0.65,0.62,0.69,0.66,0.69,0.66,0.58,0.58,1,Global Hedged Convertible Bond hedged,,,,,,,,,,,,,,,,,,,,,
Equities,Global Hedged Convertible Bond hedged,0.0325,0.0368,0.095,,0.02,-0.07,-0.23,0.07,0.26,0.08,0.69,0.82,0.4,0.68,0.54,0.08,0.41,-0.21,0.43,-0.2,0.48,0.05,0.48,0.08,0.59,0.63,0.68,0.59,0.71,0.69,0.6,0.75,0.72,0.82,0.84,0.84,0.82,0.82,0.84,0.84,0.83,0.84,0.63,1,Private Equity,,,,,,,,,,,,,,,,,,,,
