,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Korean Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap hedged,0.065,0.0778,0.1675,0.0675,0.03,-0.2,-0.11,-0.08,-0.59,-0.23,-0.56,-0.32,-0.49,0.03,-0.45,0.31,0.04,0.66,0.3,0.7,0.39,0.01,-0.57,0.04,-0.52,0.08,-0.18,0.49,-0.2,0.49,0.63,0.51,0.84,0.67,0.89,0.81,1,UK Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,UK Large Cap,0.0525,0.0604,0.13,0.0725,0.02,-0.01,-0.33,-0.22,-0.06,-0.28,-0.25,-0.37,0.01,-0.1,0.11,0.2,0.53,0.46,0.65,0.56,0.15,-0.08,0,-0.05,0.03,0,0.31,0.31,0.35,0.37,0.35,0.73,0.54,0.83,0.65,0.8,0.63,1,UK Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,UK Large Cap hedged,0.0575,0.0659,0.135,0.0625,0.04,-0.2,0.01,-0.01,-0.62,-0.21,-0.54,-0.25,-0.51,0.08,-0.49,0.33,-0.01,0.66,0.24,0.61,0.42,0.06,-0.55,0.13,-0.49,0.19,-0.19,0.55,-0.22,0.5,0.61,0.49,0.85,0.61,0.87,0.68,0.86,0.65,1,Japanese Equity,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity,0.0525,0.061,0.135,0.055,-0.02,-0.08,-0.25,-0.08,0.21,-0.09,0.07,-0.1,0.27,-0.11,0.33,0.11,0.54,0.15,0.41,0.24,0.09,-0.05,0.17,-0.1,0.17,-0.14,0.39,0.04,0.44,0.2,0.1,0.61,0.23,0.53,0.22,0.48,0.32,0.58,0.22,1,Japanese Equity hedged,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity hedged,0.065,0.0813,0.19,0.0575,-0.04,-0.24,-0.2,-0.17,-0.48,-0.36,-0.5,-0.35,-0.43,-0.1,-0.35,0.16,0.06,0.48,0.25,0.53,0.22,-0.17,-0.54,-0.17,-0.53,-0.12,-0.17,0.27,-0.12,0.33,0.43,0.42,0.64,0.51,0.65,0.57,0.7,0.51,0.6,0.61,1,China Offshore Listed & Hong Kong Equity,,,,,,,,,,,,,,,,,,,,,,,
Equities,China Offshore Listed & Hong Kong Equity,0.065,0.0809,0.1875,,-0.01,0.08,-0.19,-0.15,-0.24,-0.17,-0.31,-0.26,-0.15,0.01,-0.11,0.26,0.19,0.39,0.39,0.45,0.17,0.01,-0.22,0.01,-0.19,0.04,0.1,0.38,0.13,0.43,0.52,0.35,0.4,0.49,0.49,0.49,0.45,0.58,0.45,0.32,0.43,1,EAFE Equity,,,,,,,,,,,,,,,,,,,,,,
Equities,EAFE Equity,0.0525,0.0601,0.1275,0.065,0.04,0.01,-0.33,-0.19,-0.09,-0.21,-0.24,-0.33,-0.02,-0.1,0.06,0.18,0.47,0.4,0.64,0.51,0.14,-0.03,-0.01,0.02,0.04,0.05,0.31,0.34,0.33,0.41,0.4,0.77,0.59,0.88,0.69,0.89,0.69,0.92,0.63,0.68,0.6,0.59,1,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,
Equities,Emerging Markets Equity,0.07,0.0796,0.145,0.09,0.05,0,-0.2,-0.15,-0.35,-0.22,-0.43,-0.34,-0.21,0.04,-0.2,0.26,0.21,0.51,0.48,0.56,0.21,-0.02,-0.26,0.08,-0.19,0.13,0.1,0.48,0.1,0.52,0.7,0.46,0.57,0.64,0.66,0.64,0.59,0.67,0.61,0.33,0.48,0.84,0.71,1,AC Asia ex-Japan Equity,,,,,,,,,,,,,,,,,,,,
Alts,AC Asia ex-Japan Equity,0.0725,0.0818,0.1425,0.09,-0.04,0,-0.18,-0.2,-0.32,-0.28,-0.38,-0.29,-0.23,-0.02,-0.17,0.28,0.2,0.47,0.43,0.53,0.15,0,-0.28,-0.03,-0.26,0.03,0.05,0.42,0.09,0.44,0.7,0.41,0.49,0.55,0.59,0.59,0.57,0.62,0.55,0.32,0.46,0.89,0.66,0.93,1,AC Asia ex-Japan Equity hedged,,,,,,,,,,,,,,,,,,,
Alts,AC Asia ex-Japan Equity hedged,0.08,0.0995,0.21,0.09,0.09,-0.14,0.02,0.03,-0.77,-0.14,-0.67,-0.27,-0.59,0.19,-0.66,0.37,-0.21,0.67,0.19,0.62,0.44,0.09,-0.67,0.27,-0.57,0.31,-0.33,0.62,-0.38,0.59,0.81,0.18,0.74,0.45,0.81,0.5,0.71,0.4,0.72,0.08,0.53,0.7,0.45,0.79,0.78,1,Developed World Equity,,,,,,,,,,,,,,,,,,
