4/28/2006,0.99,0.69,0.47,-1.53
5/31/2006,2.11,0.55,-0.62,-2.20
6/30/2006,0.03,0.62,1.31,-1.21
7/31/2006,2.37,0.61,0.53,-3.09
8/31/2006,1.06,-0.31,-4.19,0.43
9/29/2006,0.67,0.42,-0.76,-1.05
10/31/2006,0.03,-0.61,-0.49,0.83
11/30/2006,0.28,-0.74,-0.94,-0.77
12/29/2006,0.93,-0.36,0.62,-0.73
1/31/2007,-0.34,-0.27,-0.75,0.09
2/28/2007,0.43,0.44,-0.35,0.54
3/30/2007,0.02,0.23,2.05,-0.67
4/30/2007,1.96,0.03,0.41,-2.14
5/31/2007,0.52,0.27,0.37,-1.81
6/29/2007,0.27,0.50,1.06,-0.98
7/31/2007,-1.42,0.49,2.39,-2.20
8/31/2007,-0.50,0.93,0.03,-1.80
9/28/2007,-3.78,0.15,5.07,-3.59
10/31/2007,-3.74,-0.62,1.56,0.15
11/30/2007,-1.44,0.69,1.12,-4.07
12/31/2007,-1.04,0.56,2.14,-1.39
1/31/2008,3.36,0.27,-6.36,0.70
2/29/2008,0.01,0.91,1.84,0.77
3/31/2008,-0.99,0.44,0.08,0.35
4/30/2008,0.77,0.63,-0.29,-3.11
5/30/2008,-0.17,0.06,0.64,0.17
6/30/2008,-4.96,1.38,6.33,-1.49
7/31/2008,1.11,1.14,-2.39,1.64
8/29/2008,3.79,0.79,-6.06,3.17
9/30/2008,0.09,0.04,-3.49,2.15
10/31/2008,0.37,0.07,-1.64,-3.88
11/28/2008,-2.87,0.94,0.80,-3.39
12/31/2008,1.70,-0.52,-1.12,4.22
1/30/2009,1.89,-0.12,-2.07,-0.91
2/27/2009,-3.07,0.46,-2.52,-1.07
3/31/2009,1.07,-0.63,-4.56,2.00
4/30/2009,7.50,-3.07,-13.25,9.66
5/29/2009,3.04,-0.31,-4.06,1.10
6/30/2009,-0.49,0.25,0.12,1.89
7/31/2009,2.32,0.21,-2.07,0.55
8/31/2009,2.80,-1.00,-4.42,2.49
9/30/2009,-0.03,0.42,-2.05,1.16
10/30/2009,1.18,1.27,0.81,-2.20
11/30/2009,0.02,1.49,-0.15,-3.18
12/31/2009,-0.41,-0.42,0.12,2.39
1/29/2010,1.62,-0.71,-2.51,2.29
