,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Taiwan Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Developed World Equity hedged,0.0475,0.0583,0.1525,0.07,0.09,-0.26,-0.67,-0.25,-0.48,-0.34,-0.34,0.12,-0.26,0.37,0.48,0.74,0.69,0.66,0.34,0.39,-0.25,0.24,-0.08,0.32,0.21,0.61,0.2,0.64,0.71,0.86,0.97,0.89,0.87,0.87,0.88,0.63,0.7,0.93,0.97,0.94,1,AC World Equity,,,,,,,,,,,,,,,,
Equities,AC World Equity,0.05,0.0579,0.13,0.07,0.02,-0.25,-0.49,-0.36,-0.4,-0.35,-0.21,0.02,-0.04,0.31,0.61,0.7,0.73,0.67,0.43,0.34,-0.16,0.11,-0.04,0.18,0.36,0.55,0.38,0.58,0.66,0.93,0.93,0.91,0.87,0.92,0.87,0.68,0.71,0.96,0.92,1,0.95,1,AC World Equity hedged,,,,,,,,,,,,,,,
Equities,AC World Equity hedged,0.05,0.0611,0.155,0.07,0.1,-0.26,-0.7,-0.25,-0.49,-0.34,-0.35,0.14,-0.27,0.39,0.47,0.75,0.69,0.67,0.34,0.4,-0.26,0.26,-0.08,0.33,0.22,0.63,0.2,0.66,0.74,0.84,0.95,0.88,0.86,0.86,0.87,0.62,0.68,0.92,0.97,0.93,1,0.95,1,Emerging Markets Equity,,,,,,,,,,,,,,
Equities,Emerging Markets Equity,0.07,0.085,0.1825,0.06,0.12,-0.28,-0.62,-0.28,-0.41,-0.29,-0.24,0.17,-0.17,0.38,0.48,0.7,0.69,0.64,0.34,0.38,-0.2,0.22,-0.04,0.3,0.32,0.64,0.29,0.65,0.8,0.64,0.74,0.76,0.71,0.75,0.74,0.51,0.56,0.81,0.84,0.77,0.83,0.83,0.87,1,Emerging Markets Equity hedged,,,,,,,,,,,,,
Equities,Emerging Markets Equity hedged,0.07,0.0906,0.215,0.06,0.16,-0.28,-0.74,-0.2,-0.46,-0.27,-0.32,0.23,-0.32,0.42,0.38,0.72,0.65,0.62,0.28,0.41,-0.25,0.31,-0.07,0.39,0.21,0.67,0.16,0.68,0.81,0.58,0.76,0.73,0.7,0.7,0.73,0.47,0.54,0.77,0.87,0.73,0.85,0.79,0.89,0.98,1,AC Asia ex-Japan Equity,,,,,,,,,,,,
Equities,AC Asia ex-Japan Equity,0.0725,0.0867,0.1775,0.01,0.09,-0.27,-0.58,-0.26,-0.36,-0.24,-0.23,0.15,-0.13,0.41,0.48,0.69,0.65,0.63,0.34,0.41,-0.2,0.19,-0.06,0.26,0.31,0.62,0.29,0.63,0.82,0.62,0.71,0.73,0.7,0.72,0.71,0.52,0.56,0.78,0.81,0.74,0.79,0.8,0.83,0.97,0.94,1,AC Asia ex-Japan Equity hedged,,,,,,,,,,,
Equities,AC Asia ex-Japan Equity hedged,0.07,0.0897,0.21,0.02,0.13,-0.27,-0.71,-0.18,-0.42,-0.23,-0.32,0.22,-0.29,0.44,0.38,0.71,0.62,0.62,0.28,0.44,-0.26,0.29,-0.1,0.35,0.2,0.65,0.17,0.67,0.83,0.57,0.74,0.71,0.7,0.68,0.71,0.48,0.55,0.75,0.84,0.71,0.83,0.77,0.86,0.95,0.98,0.98,1,Private Equity,,,,,,,,,,
Alts,Private Equity,0.0625,0.0789,0.19,0.04,0.02,-0.18,-0.37,-0.28,-0.32,-0.29,-0.18,-0.02,-0.03,0.23,0.5,0.56,0.62,0.53,0.34,0.27,-0.12,0.09,-0.02,0.14,0.3,0.43,0.3,0.45,0.52,0.82,0.8,0.82,0.77,0.77,0.74,0.54,0.58,0.82,0.77,0.85,0.8,0.85,0.79,0.64,0.6,0.62,0.59,1,Private Equity hedged,,,,,,,,,
Alts,Private Equity hedged,0.0625,0.0823,0.21,0.05,0.06,-0.23,-0.51,-0.25,-0.39,-0.3,-0.28,0.03,-0.17,0.27,0.43,0.6,0.52,0.58,0.24,0.31,-0.29,0.07,-0.18,0.12,0.19,0.46,0.2,0.49,0.57,0.77,0.82,0.76,0.82,0.72,0.76,0.52,0.6,0.77,0.78,0.8,0.82,0.8,0.81,0.65,0.65,0.63,0.64,0.7,1,Asia Core Real Estate,,,,,,,,
Alts,Asia Core Real Estate,0.045,0.05,0.1025,0.01,0.04,-0.07,-0.25,-0.09,-0.12,-0.07,-0.1,0.07,-0.07,0.18,0.25,0.33,0.28,0.27,0.12,0.21,-0.07,0.11,-0.01,0.14,0.14,0.28,0.1,0.26,0.34,0.36,0.39,0.35,0.35,0.33,0.36,0.25,0.26,0.37,0.38,0.38,0.4,0.4,0.41,0.39,0.39,0.4,0.4,0.33,0.33,1,U.S. REITs,,,,,,,
Alts,U.S. REITs,0.0525,0.0626,0.1475,0.01,-0.01,0.04,-0.23,-0.05,-0.01,0.03,-0.02,0.13,0.05,0.34,0.51,0.54,0.41,0.4,0.19,0.43,0.04,0.2,0.1,0.22,0.37,0.48,0.26,0.38,0.38,0.69,0.67,0.56,0.57,0.52,0.61,0.42,0.37,0.59,0.57,0.66,0.63,0.64,0.61,0.44,0.43,0.44,0.43,0.57,0.55,0.4,1,U.S. REITs hedged,,,,,,
Alts,U.S. REITs hedged,0.0525,0.0647,0.1625,0.02,0.05,0.01,-0.42,-0.01,-0.11,0,-0.14,0.21,-0.12,0.41,0.44,0.62,0.44,0.45,0.16,0.48,-0.05,0.3,0.05,0.33,0.27,0.56,0.15,0.48,0.48,0.67,0.74,0.6,0.62,0.54,0.66,0.42,0.4,0.63,0.67,0.67,0.72,0.67,0.71,0.53,0.56,0.52,0.55,0.58,0.61,0.42,0.97,1,Global REITs,,,,,
Alts,Global REITs,0.0575,0.0672,0.145,0.04,-0.01,-0.03,-0.36,-0.13,-0.14,-0.07,-0.06,0.18,0.06,0.45,0.61,0.69,0.63,0.6,0.4,0.52,0.02,0.27,0.13,0.31,0.45,0.62,0.37,0.56,0.55,0.77,0.78,0.73,0.7,0.73,0.73,0.59,0.52,0.8,0.78,0.82,0.8,0.83,0.8,0.69,0.66,0.69,0.66,0.69,0.66,0.44,0.9,0.9,1,Global REITs hedged,,,,
Alts,Global REITs hedged,0.0575,0.07,0.165,0.04,0.06,-0.07,-0.55,-0.08,-0.24,-0.1,-0.19,0.26,-0.15,0.5,0.51,0.74,0.63,0.62,0.33,0.55,-0.08,0.37,0.07,0.42,0.33,0.69,0.23,0.64,0.63,0.72,0.83,0.74,0.73,0.72,0.76,0.55,0.54,0.8,0.85,0.8,0.86,0.81,0.87,0.75,0.77,0.74,0.77,0.67,0.7,0.44,0.85,0.91,0.96,1,Diversified Hedge Funds,,,
Alts,Diversified Hedge Funds,0.0325,0.034,0.055,0.04,-0.23,-0.19,0.31,-0.4,0,-0.2,0.31,-0.22,0.57,-0.08,0.52,0.12,0.25,0.32,0.36,-0.04,0,-0.46,-0.09,-0.45,0.37,-0.11,0.51,-0.04,0.05,0.38,0.11,0.22,0.25,0.37,0.18,0.33,0.32,0.29,0.07,0.36,0.1,0.33,0.07,0.12,-0.04,0.12,-0.04,0.27,0.16,0.01,0.04,-0.1,0.14,-0.04,1,Diversified Hedge Funds hedged,,
Alts,Diversified Hedge Funds hedged,0.0325,0.0352,0.075,0.06,0.03,-0.35,-0.55,-0.3,-0.49,-0.38,-0.23,0.1,-0.17,0.27,0.41,0.61,0.52,0.68,0.31,0.27,-0.4,-0.01,-0.29,0.04,0.08,0.36,0.15,0.45,0.6,0.58,0.66,0.61,0.7,0.67,0.64,0.5,0.63,0.68,0.71,0.67,0.72,0.69,0.72,0.65,0.66,0.61,0.63,0.55,0.61,0.24,0.25,0.34,0.46,0.52,0.48,1,Commodities,
Alts,Commodities,0.0275,0.0378,0.1475,0.16,0,-0.29,-0.33,-0.14,-0.32,-0.27,-0.03,0.19,-0.08,0.21,0.25,0.37,0.44,0.31,0.35,0.13,0,0.24,0.12,0.29,0.11,0.28,0.14,0.33,0.32,0.27,0.33,0.32,0.21,0.47,0.34,0.14,0.16,0.39,0.41,0.37,0.41,0.39,0.42,0.46,0.46,0.35,0.37,0.27,0.24,0.12,0.09,0.15,0.26,0.31,0.16,0.46,1,Gold
Alts,Gold,0.03,0.0448,0.1775,-0.12,-0.1,0.18,0.19,0.31,0.25,0.28,0.38,0.4,0.22,0.31,-0.02,-0.02,0.06,-0.11,0.13,0.22,0.43,0.39,0.45,0.38,0.25,0.22,0.21,0.19,-0.1,-0.18,-0.17,-0.11,-0.24,-0.04,-0.07,-0.17,-0.35,-0.09,-0.08,-0.13,-0.12,-0.11,-0.09,0.05,0.04,0.01,0.01,-0.14,-0.18,-0.03,-0.06,-0.06,-0.05,-0.05,0,-0.02,0.37,1
